dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
ventas,units,1901,76.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,31.5,1.8529411764705883,7.644333333333333
ventas,units,1903,96.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,51.5,3.0294117647058822,9.892666666666667
ventas,units,1904,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1951,143.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,98.5,5.794117647058823,15.176250000000001
ventas,units,1963,54.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,9.5,0.5588235294117647,5.171166666666667
ventas,units,1976,379.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,334.5,19.676470588235293,41.706583333333334
ventas,units,1991,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1994,108.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,63.5,3.735294117647059,11.241666666666667
ventas,units,1996,69.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,24.5,1.4411764705882353,6.8574166666666665
ventas,units,2000,54.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,9.5,0.5588235294117647,5.171166666666667
ventas,units,2003,68.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,23.5,1.3823529411764706,6.745
ventas,units,2039,47.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,2.5,0.14705882352941177,4.38425
ventas,units,2045,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,2047,156.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,111.5,6.5588235294117645,16.637666666666664
ventas,units,2096,112.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,67.5,3.9705882352941178,11.691333333333333
ventas,units,2111,70.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,25.5,1.5,6.969833333333334
ventas,units,2125,411.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,366.5,21.558823529411764,45.30391666666666
ventas,units,2129,98.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,53.5,3.1470588235294117,10.1175
ventas,units,2141,78.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,33.5,1.9705882352941178,7.869166666666666
ventas,units,2145,59.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,14.5,0.8529411764705882,5.733249999999999
ventas,units,2147,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,2169,52.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,7.5,0.4411764705882353,4.9463333333333335
ventas,units,2195,57.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,12.5,0.7352941176470589,5.508416666666666
ventas,units,2200,68.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,23.5,1.3823529411764706,6.745
ventas,units,2201,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,2202,137.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,92.5,5.4411764705882355,14.50175
ventas,units,2203,85.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,40.5,2.3823529411764706,8.656083333333333
ventas,units,2227,40.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.5973333333333333
